CODIGO;DESCRICAO;  CUSTO   
300415; AMARELO EXTERNO 156-C ; 19,21 
300417; MARROM MONO EXTERNO PÃO CLASSICOS-C ; 21,10 
300418; MARROM MONO EXTERNO 181-C ; 7,09 
300420; AZUL MONO LAM 7469-C  13/35 ; 30,68 
300421; MARROM MONO EXTERNO 469-C ; 21,42 
300424; MARROM MONO EXTERNO 1685-C ; 24,14 
300429; OCRE MONO EXTERNO 132-C ; 22,30 
300430; CINZA MONO EXTERNO 417-C ; 18,36 
300431; OCRE MONO EXTERNO JOLI-C ; 21,79 
300432; OCRE MONO EXTERNO 465-C ; 18,65 
300435; OURO MONO EXTERNO VERINHA-C ; 14,23 
300438; OURO MONO EXTERNO ARROVITA-C ; 20,01 
300439; OURO MONO EXTERNO TZ-C ; 18,99 
300440; OURO MONO LAM MINGOTE-C   14 ; 27,59 
300441; OURO MONO EXTERNO SANTO ANDRE-C ; 20,23 
300443; ROSA MONO EXTERNO 691-C ; 16,92 
300444; SALMAO MONO EXTERNO 162-C ; 17,64 
300452; VERDE MONO EXTERNO 319-C ; 21,08 
300453; VERDE MONO EXTERNO TRES CEREAIS-C ; 22,78 
300459; VERDE MONO EXTERNO 364-C ; 21,20 
300462; VERDE MONO EXTERNO COMACEL-C ; 21,54 
300467; VERDE MONO EXTERNO 560-C ; 22,71 
300468; VERDE MONO EXTERNO 450-C ; 20,87 
300477; VERMELHO CEREAL P.BRANCO 485-C ; 26,51 
300479; VERMELHO CEREAL 186-C ; 26,98 
300481; VERMELHO MONO EXTERNO 1807-C ; 27,55 
300487; AMARELO MONO LAM 110-C ; 22,97 
300488; AMARELO MONO LAM 109-C  1/6 ; 25,54 
300489; AMARELO MONO LAM 116-C  1/9 ; 23,63 
300490; AMARELO MONO LAM FIRENZE-C ; 22,50 
300492; AMARELO MONO LAM 7403-C  6/26 ; 16,45 
300494; AMARELO LAM 7549-C TIO JOÃO ; 26,46 
300495; AMARELO MONO LAM 7405-C 163 ; 24,99 
300496; AMARELO MONO LAM 1235-C 146 ; 24,03 
300497; AMARELO LAM 1375-C  20/4 ; 24,53 
300498; AMARELO MONO LAM 106-C ; 20,31 
300499; AMARELO MONO LAM 1225-C  ; 20,18 
300500; AMARELO MONO LAM 124-C  2/2 ; 29,18 
300501; AZUL LAM PARBO MEU BIJU(AM) ; 29,06 
300502; AMARELO MONO LAM 7406-C  21/4 ; 23,12 
300503; AMARELO MONO LAM 142-C  6/2 ; 19,09 
300504; AMARELO MONO LAM 123-C  21/9 ; 26,25 
300505; AMARELO LAM GIRANDO SOL (AM) 16 ; 27,60 
300506; AMARELO LAM 7409-C  ; 25,72 
300507; AMARELO MONO LAM AMELIA-C ; 16,01 
300508; AMARELO MONO LAM 136-C 1/25 ; 19,21 
300509; AMARELO MONO LAM 602-C ; 14,80 
300510; AMARELO LAM 100-C  1/03 ; 22,20 
300511; AMARELO MONO LAM 102-C  8/22 ; 24,08 
300512; AMARELO LAM PROTEGE(AM)  16/9 ; 27,34 
300513; AMARELO MONO LAM 101-C ; 21,38 
300514; AMARELO MONO LAM 135-C 10/32 ; 19,42 
300515; AMARELO MONO LAM  122-C ; 18,96 
300516; AMARELO MONO LAM 127-C ; 16,02 
300517; AZUL MONO LAM PIRISA-C ; 20,22 
300518; AZUL MONO LAM 638-C  4/40 ; 21,80 
300519; AZUL MONO LAM 287-C  25/01 ; 27,27 
